age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,manager_comments
44,Private,165492,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,[INDIVIDU_1] a [INDIVIDU_2]. Mediation scheduled. HR follow-up: [EMAIL].
36,Local-gov,196529,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,Behavioral concern raised by colleague [INDIVIDU_1]. [INDIVIDU_2] ([EMAIL]) to follow up by 2025-06-05. Reference ticket HR-86732.
47,Private,102308,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,Strong year for [INDIVIDU_1]. Bonus wired to account ****[PHONE]. Validated by [INDIVIDU_2] on 2025-05-05.
32,Private,26803,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,84,United-States,>50K,"[INDIVIDU_1] on extended leave since 2025-08-06. [INDIVIDU_2] discussed [INDIVIDU_3], 300.475.3041."
52,Self-emp-inc,287927,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,15024,0,40,United-States,>50K,"[INDIVIDU_1] a strong promotion candidate this year. Discussed with HR ([INDIVIDU_2], [PHONE]). Budget pre-approved on account [IBAN]."
61,State-gov,162678,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,RAS pour [INDIVIDU_1] cette année. Manager : [INDIVIDU_2].
24,Self-emp-not-inc,277700,Some-college,10,Separated,Handlers-cleaners,Own-child,White,Male,0,0,45,United-States,<=50K,[INDIVIDU_1] a [INDIVIDU_2]. Mediation scheduled. HR follow-up: [EMAIL].
50,Private,107665,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,"[INDIVIDU_1] is a strong promotion candidate this year. Discussed with HR ([INDIVIDU_2], [PHONE]). Budget pre-approved on account [IBAN]."
19,Private,405526,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,"[INDIVIDU_1] on extended leave since 2025-05-06. [INDIVIDU_2] discussed with Debbie [INDIVIDU_3], [PHONE]."
39,Federal-gov,206190,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K,"Annual review for Shannon Carter: solid contributor, no concern. Manager: [INDIVIDU_1], contact [EMAIL]."
39,Private,110713,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,Onboarding complete for Meagan Lloyd. [INDIVIDU_1] assigned: [INDIVIDU_2] ([EMAIL]). No issues.
28,Private,34335,HS-grad,9,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Male,14084,0,40,United-States,>50K,PIP opened 2025-02-16. Coaching assigned to [INDIVIDU_1] ([EMAIL]). Review in 90 days. Confidential — HR contact: [INDIVIDU_2].
52,Self-emp-not-inc,194791,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,[INDIVIDU_1] requested a transfer. Approved by [INDIVIDU_2]. Reach them at [PHONE] for handover. [INDIVIDU_3].
18,Private,436163,11th,7,Never-married,Prof-specialty,Own-child,White,Male,0,0,20,United-States,<=50K,[INDIVIDU_1] flagged a conflict with [INDIVIDU_2]. Mediation scheduled. HR follow-up: [EMAIL].
32,Private,226696,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K,Strong year for [INDIVIDU_1]. Bonus wired to account [IBAN]. Validated by [INDIVIDU_2] on 2025-12-13.
57,Private,250201,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,52,United-States,<=50K,PIP opened 2025-11-30. Coaching assigned to [INDIVIDU_1] ([EMAIL]). Review in 90 days. Confidential — HR contact: [INDIVIDU_2].
58,Private,289364,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,United-States,>50K,"[INDIVIDU_1] on extended leave since 2025-06-18. [INDIVIDU_2] discussed with [INDIVIDU_3], [PHONE]."
42,Private,219591,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,55,United-States,>50K,Prime versée à [INDIVIDU_1] sur le compte [IBAN]. Contrôle : [INDIVIDU_2].
22,,120572,Some-college,10,Never-married,,Own-child,White,Female,0,0,40,United-States,<=50K,Performance below target for Deborah Gates. Action plan owned by [INDIVIDU_1]. [INDIVIDU_2].
42,Private,266084,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,45,United-States,>50K,"[INDIVIDU_1] is a strong promotion candidate this year. Discussed with HR ([INDIVIDU_2], [PHONE]). Budget pre-approved on account [IBAN]."
43,Private,209894,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,Performance below target for Jared Hernandez. Action plan owned by [INDIVIDU_1]. [INDIVIDU_2].
17,Private,329783,10th,6,Never-married,Sales,Other-relative,White,Female,0,0,10,United-States,<=50K,"[INDIVIDU_1] on extended leave since 2025-03-05. [INDIVIDU_2] discussed [INDIVIDU_3], 570.016.8451."
52,Private,210736,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,55,United-States,>50K,Strong year for Jesus Grimes. Bonus wired to account [IBAN]. Validated by [INDIVIDU_1] on 2025-04-18.
58,Self-emp-not-inc,321171,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,"[INDIVIDU_1] 2025-03-17. [INDIVIDU_2] discussed with [INDIVIDU_3], [PHONE]."
39,Local-gov,180686,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,45,United-States,>50K,PIP opened 2025-07-20. Coaching assigned to [INDIVIDU_1] ([EMAIL]). Review in 90 days. Confidential — HR contact: [INDIVIDU_2].
22,Private,356567,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,0,60,United-States,<=50K,Strong year for [INDIVIDU_1]. Bonus wired to account [IBAN]. Validated by [INDIVIDU_2] on 2025-04-14.
34,Self-emp-not-inc,29254,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,>50K,Performance below target for [INDIVIDU_1]. Action plan owned by [INDIVIDU_2]. Ticket HR-35058.
26,Self-emp-not-inc,93806,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K,"[INDIVIDU_1] DDS on extended leave since 2025-08-20. [INDIVIDU_2] discussed with [INDIVIDU_3], [PHONE]."
35,,273558,Some-college,10,Never-married,,Not-in-family,Black,Male,0,0,30,United-States,<=50K,Strong year for [INDIVIDU_1]. Bonus wired to account [IBAN]. Validated by [INDIVIDU_2] on 2025-06-29.
45,Private,178416,Assoc-voc,11,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,<=50K,"Annual review for [INDIVIDU_1]: solid contributor, no concern. Manager: [INDIVIDU_2], contact [EMAIL]."
26,Private,41521,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,<=50K,Onboarding complete for Amy Sparks. [INDIVIDU_1] assigned: [INDIVIDU_2] ([EMAIL]). No issues.
58,Local-gov,368797,Masters,14,Widowed,Prof-specialty,Unmarried,White,Male,0,0,35,United-States,>50K,"[INDIVIDU_1] is a strong promotion candidate this year. Discussed with HR ([INDIVIDU_2], [PHONE]). Budget pre-approved on account [IBAN]."
30,Local-gov,131776,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,PIP opened 2025-04-22. Coaching assigned to [INDIVIDU_1] ([EMAIL]). Review in 90 days. Confidential — HR contact: [INDIVIDU_2].
49,State-gov,391585,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K,Strong year for [INDIVIDU_1]. Bonus wired to account [IBAN]. Validated by Ronald Walker on 2025-12-18.
51,Private,103824,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,Haiti,<=50K,"[INDIVIDU_1] on extended leave since 2025-10-30. [INDIVIDU_2] discussed [INDIVIDU_3], [PHONE]."
48,Private,131826,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,"[INDIVIDU_1] on extended leave since 2025-03-29. [INDIVIDU_2] discussed with Alyssa Chase, [PHONE]."
20,Private,190772,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,Performance below target for Mary Simpson. Action plan owned by Alec Day. [INDIVIDU_1].
32,Private,208180,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,24,United-States,>50K,Alerte comportementale signalée par [INDIVIDU_1] au sujet de [INDIVIDU_2]. Suivi RH : [EMAIL].
55,Self-emp-not-inc,477867,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,"[INDIVIDU_1] on extended leave since 2025-07-14. [INDIVIDU_2] discussed [INDIVIDU_3], 590.119.1345."
35,Private,187693,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,Behavioral concern raised by colleague [INDIVIDU_1]. Manager Thomas Phillips ([EMAIL]) to follow up by 2025-01-09. Reference ticket HR-83885.
49,Self-emp-inc,44671,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,"Annual review for [INDIVIDU_1]: solid contributor, no concern. Manager: [INDIVIDU_2], contact [EMAIL]."
27,Private,215504,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1848,55,United-States,>50K,Performance below target for Jorge Garcia. Action plan owned by Dr. [INDIVIDU_1]. [INDIVIDU_2].
24,,33339,Some-college,10,Never-married,,Own-child,White,Male,0,0,20,United-States,<=50K,Strong year for Melinda Franco. Bonus wired to account [IBAN]. Validated by [INDIVIDU_1] on 2025-12-05.
41,Private,287306,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,>50K,PIP opened 2025-03-14. Coaching assigned to Dawn Price ([EMAIL]). Review in 90 days. Confidential — HR contact: [INDIVIDU_1].
45,Private,187370,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,7430,0,70,United-States,>50K,"Annual review for [INDIVIDU_1]: solid contributor, no concern. Manager: [INDIVIDU_2], contact [EMAIL]."
36,Private,230329,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,Mobilité demandée par [INDIVIDU_1]. Validée par [INDIVIDU_2] le 2025-10-08. [INDIVIDU_3].
51,Private,332243,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K,"[INDIVIDU_1] a strong promotion candidate this year. Discussed with HR ([INDIVIDU_2], [PHONE]). Budget pre-approved on account [IBAN]."
17,Private,365613,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,10,Canada,<=50K,[INDIVIDU_1] requested a transfer. Approved by [INDIVIDU_2]. Reach them at [PHONE] for handover. Ticket HR-52574.
44,Local-gov,196456,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1669,40,United-States,<=50K,Behavioral concern raised by colleague [INDIVIDU_1]. Manager David Love ([EMAIL]) to follow up by 2025-10-04. Reference ticket HR-58374.
33,Private,129707,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,>50K,"Annual review for [INDIVIDU_1]: solid contributor, no concern. Manager: [INDIVIDU_2], contact [EMAIL]."
38,Self-emp-not-inc,77820,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,RAS pour [INDIVIDU_1] cette année. Manager : [INDIVIDU_2].
30,Local-gov,44566,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,80,United-States,<=50K,Strong year for Shane Osborne. Bonus wired to account [IBAN]. Validated by [INDIVIDU_1] on 2025-06-04.
33,Private,112941,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,[INDIVIDU_1] a [INDIVIDU_2]. Mediation scheduled. HR follow-up: [EMAIL].
18,Private,302859,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K,"Annual review for Tyler Shields: solid contributor, no concern. Manager: [INDIVIDU_1], contact [EMAIL]."
61,Self-emp-not-inc,392694,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K,Onboarding complete for Jonathon Hall. [INDIVIDU_1] assigned: [INDIVIDU_2] ([EMAIL]). No issues.
22,Private,309178,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,Strong year for Jessica Lee. Bonus wired to account [IBAN]. Validated by [INDIVIDU_1] on 2025-10-12.
23,Federal-gov,350680,Assoc-acdm,12,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,Poland,<=50K,[INDIVIDU_1] requested a transfer. Approved by Cody Russell. Reach them at [PHONE] for handover. Ticket HR-72181.
50,Federal-gov,20179,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,"[INDIVIDU_1] a strong promotion candidate this year. Discussed with HR (Theresa Montes, [PHONE]). Budget pre-approved on account [IBAN]."
32,Private,331539,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,China,>50K,Onboarding complete for [INDIVIDU_1]. [INDIVIDU_2] assigned: [INDIVIDU_3]. [INDIVIDU_4] ([EMAIL]). No issues.
20,Private,183594,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,"Annual review for Becky Fernandez: solid contributor, no concern. Manager: [INDIVIDU_1], contact [EMAIL]."
65,Private,469602,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,15,United-States,<=50K,"Annual review for Roy Clark: solid contributor, no concern. Manager: [INDIVIDU_1], contact [EMAIL]."
38,Federal-gov,172571,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K,"Entretien annuel de [INDIVIDU_1] : bon élément. Référent : [INDIVIDU_2], joignable au [PHONE]."
44,Private,198282,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K,[INDIVIDU_1] requested a transfer. Approved by Matthew Price. Reach them at [PHONE] for handover. [INDIVIDU_2].
53,Private,152657,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K,"[INDIVIDU_1] on extended leave since 2025-09-16. [INDIVIDU_2] discussed with [INDIVIDU_3], [PHONE]."
27,Private,189462,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,46,United-States,<=50K,Behavioral concern raised by colleague [INDIVIDU_1]. Manager Amy Lowery ([EMAIL]) to follow up by 2025-11-03. Reference ticket HR-74954.
51,Self-emp-not-inc,276456,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,3103,0,30,United-States,>50K,Plan d'accompagnement ouvert pour [INDIVIDU_1]. Coaching confié à [INDIVIDU_2] ([EMAIL]).
64,Self-emp-not-inc,170421,Some-college,10,Widowed,Craft-repair,Not-in-family,White,Female,0,0,8,United-States,<=50K,[INDIVIDU_1] flagged a [INDIVIDU_2]. Mediation scheduled. HR follow-up: [EMAIL].
27,Private,242207,Bachelors,13,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K,PIP opened 2025-07-15. Coaching assigned to Mrs. [INDIVIDU_1] ([EMAIL]). Review in 90 days. Confidential — HR contact: [INDIVIDU_2].
43,Federal-gov,192712,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,Performance below target for [INDIVIDU_1]. Action plan owned by [INDIVIDU_2]. [INDIVIDU_3].
48,Self-emp-not-inc,107231,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,>50K,Behavioral concern raised by colleague [INDIVIDU_1]. Manager Karen Clark ([EMAIL]) to follow up by 2025-09-21. Reference ticket HR-29351.
41,Private,213019,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,38,United-States,>50K,Strong year for Jessica Griffin. Bonus wired to account [IBAN]. Validated by Mark Richmond on 2025-09-30.
46,Self-emp-inc,219962,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298,0,40,,>50K,Performance below target for Joel Thomas. Action plan owned by [INDIVIDU_1]. [INDIVIDU_2].
39,Private,205359,Assoc-acdm,12,Widowed,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K,Strong year for [INDIVIDU_1]. Bonus wired to account [IBAN]. Validated by [INDIVIDU_2] on 2025-10-28.
32,Private,302845,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,48,United-States,<=50K,PIP opened 2025-06-29. Coaching assigned to [INDIVIDU_1] ([EMAIL]). Review in 90 days. Confidential — HR contact: [INDIVIDU_2].
46,Federal-gov,219293,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,80,United-States,>50K,PIP opened 2025-08-16. Coaching assigned to Leah Moses ([EMAIL]). Review in 90 days. Confidential — HR contact: [INDIVIDU_1].
31,Private,339482,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1848,40,United-States,>50K,"Dawn Fischer on extended leave since 2025-03-11. [INDIVIDU_1] discussed with [INDIVIDU_2], [PHONE]."
31,Federal-gov,207301,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,"[INDIVIDU_1] 2025-06-10. [INDIVIDU_2] discussed with Dr. [INDIVIDU_3], [PHONE]."
32,Private,43403,Some-college,10,Divorced,Farming-fishing,Not-in-family,White,Female,0,1590,54,United-States,<=50K,[INDIVIDU_1] flagged a conflict with Daisy Russell. Mediation scheduled. HR follow-up: [EMAIL].
43,Private,334991,Some-college,10,Separated,Transport-moving,Unmarried,White,Male,4934,0,51,United-States,>50K,Performance below target for [INDIVIDU_1]. Action plan owned by Colin Andrade. [INDIVIDU_2].
30,Private,78980,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,[INDIVIDU_1] a conflict with [INDIVIDU_2]. Mediation scheduled. HR follow-up: [EMAIL].
20,,210781,Some-college,10,Never-married,,Own-child,White,Female,0,0,10,United-States,<=50K,[INDIVIDU_1] requested a transfer. Approved by Justin Ford. Reach them at [PHONE] for handover. [INDIVIDU_2].
32,Private,193042,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,15024,0,60,United-States,>50K,[INDIVIDU_1] requested a transfer. Approved by [INDIVIDU_2]. Reach them at [PHONE] for handover. [INDIVIDU_3].
43,Private,233130,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,20,United-States,<=50K,Performance below target for Stacy Payne. Action plan owned by [INDIVIDU_1]. [INDIVIDU_2].
23,Private,297152,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,25,United-States,<=50K,Behavioral concern raised by colleague [INDIVIDU_1]. [INDIVIDU_2] ([EMAIL]) to follow up by 2025-11-06. Reference ticket HR-70515.
40,Local-gov,289403,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,1887,40,,>50K,Behavioral concern raised by colleague [INDIVIDU_1]. [INDIVIDU_2] ([EMAIL]) to follow up by 2025-01-28. Reference ticket HR-76467.
18,Private,170544,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K,"Annual review for [INDIVIDU_1]: solid contributor, no concern. Manager: [INDIVIDU_2], contact [EMAIL]."
17,Private,151141,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,15,United-States,<=50K,Strong year for Diane Williams. Bonus wired to account [IBAN]. Validated by [INDIVIDU_1] on 2025-05-24.
